Chelsea Gray,12,0.393
Nneka Ogwumike,30,0.4
Riquna Williams,2,0.381
Candace Parker,3,0.364
Jantel Lavender,42,0.5
Alana Beard,0,0.444
Odyssey Sims,1,0.375
Essence Carson,17,0.231
Maria Vadeeva,10,0.527
Sydney Wiese,24,0
Karlie Samuelson,44,0
